Metric,Value
Num of All jobs,1000
Num of HPC jobs,951
Num of QC jobs,49
Wait time of HPC jobs,"(0, 21.5, 121)"
Wait time of HPC (Priority=1) jobs,"(0, 17.7, 102, [19, 20, 22, 8, 19, 18, 8, 23, 22, 12, 14, 75, 8, 3, 16, 4, 15, 23, 17, 17, 13, 13, 15, 16, 24, 11, 20, 8, 21, 4, 8, 8, 8, 24, 13, 8, 8, 33, 16, 16, 21, 8, 20, 5, 10, 76, 21, 14, 1, 2, 21, 10, 46, 6, 15, 11, 18, 8, 20, 24, 10, 14, 19, 22, 21, 22, 7, 13, 5, 5, 18, 12, 24, 5, 20, 5, 20, 99, 5, 14, 17, 12, 12, 12, 18, 4, 19, 35, 19, 6, 14, 12, 17, 14, 19, 7, 14, 20, 24, 46, 13, 12, 13, 3, 12, 1, 20, 24, 13, 1, 5, 21, 100, 12, 70, 8, 5, 12, 20, 71, 24, 12, 24, 12, 4, 22, 14, 7, 3, 24, 12, 22, 21, 59, 15, 14, 19, 0, 23, 2, 2, 21, 23, 3, 1, 9, 18, 0, 23, 24, 3, 4, 4, 12, 10, 14, 13, 2, 96, 6, 19, 70, 2, 13, 24, 8, 19, 20, 18, 24, 2, 75, 0, 21, 16, 17, 12, 9, 4, 9, 20, 13, 18, 22, 3, 2, 2, 9, 12, 6, 18, 21, 22, 8, 14, 72, 102, 0, 14])"
Wait time of HPC (Priority=2) jobs,"(1, 19.7, 112, [9, 11, 8, 20, 10, 2, 22, 77, 9, 23, 7, 80, 10, 14, 81, 23, 17, 9, 39, 10, 16, 18, 24, 8, 40, 14, 47, 22, 10, 9, 8, 6, 8, 8, 11, 19, 3, 18, 22, 19, 82, 13, 7, 10, 11, 29, 48, 7, 19, 13, 8, 7, 23, 29, 10, 25, 13, 15, 24, 8, 14, 14, 24, 24, 8, 22, 12, 72, 1, 5, 21, 17, 12, 3, 6, 38, 14, 20, 19, 18, 5, 22, 18, 2, 6, 22, 101, 25, 12, 5, 14, 10, 5, 8, 4, 24, 14, 2, 22, 111, 14, 5, 24, 15, 23, 14, 21, 14, 15, 7, 26, 23, 15, 5, 11, 20, 45, 24, 3, 21, 26, 112, 2, 13, 14, 14, 8, 23, 20, 20, 10, 1, 73, 4, 35, 17, 18, 26, 4, 13, 9, 11, 15, 17, 1, 19, 14, 13, 3, 29, 7, 19, 14, 14, 5, 20, 6, 24, 19, 5, 4, 4, 20, 20, 10, 12, 4, 108, 109, 20, 9, 2, 24, 18, 20, 23, 17, 10, 17, 10, 13, 3, 14, 6, 78])"
Wait time of HPC (Priority=3) jobs,"(0, 18.4, 110, [25, 11, 17, 49, 18, 23, 13, 8, 29, 8, 20, 22, 4, 50, 2, 23, 9, 22, 17, 9, 10, 6, 20, 24, 30, 19, 12, 22, 3, 12, 9, 9, 18, 12, 31, 19, 6, 20, 13, 6, 58, 23, 11, 35, 8, 15, 17, 83, 20, 14, 13, 1, 12, 18, 25, 20, 15, 10, 9, 2, 8, 16, 14, 21, 3, 84, 8, 17, 22, 3, 21, 14, 8, 15, 8, 27, 15, 24, 23, 15, 14, 23, 9, 25, 14, 65, 26, 19, 15, 28, 22, 15, 39, 9, 16, 33, 3, 28, 26, 75, 24, 27, 23, 16, 4, 34, 28, 16, 18, 17, 18, 7, 0, 23, 19, 1, 11, 19, 7, 15, 22, 8, 27, 19, 17, 28, 15, 2, 4, 16, 24, 14, 4, 14, 24, 13, 15, 6, 13, 20, 14, 110, 9, 17, 20, 16, 21, 16, 18, 17, 15, 24, 22, 3, 24, 11, 22, 6, 14, 13, 0, 41, 23, 3, 9, 13, 22, 19, 9, 3, 10, 42, 17, 7, 14, 12, 23, 24, 22, 21, 14, 5, 10])"
Wait time of HPC (Priority=4) jobs,"(0, 21.9, 114, [10, 25, 7, 20, 33, 13, 19, 45, 19, 6, 23, 5, 6, 16, 10, 26, 30, 46, 5, 10, 13, 7, 16, 18, 21, 17, 24, 18, 25, 0, 12, 46, 19, 46, 5, 22, 46, 24, 24, 18, 24, 48, 25, 19, 8, 4, 21, 26, 7, 21, 9, 48, 29, 56, 25, 4, 13, 46, 14, 18, 17, 7, 19, 20, 22, 13, 85, 23, 26, 21, 29, 5, 15, 69, 27, 23, 19, 9, 16, 18, 30, 18, 28, 30, 29, 31, 113, 4, 3, 29, 20, 23, 36, 24, 21, 20, 3, 20, 24, 31, 37, 17, 25, 20, 20, 0, 38, 1, 21, 20, 20, 21, 21, 25, 18, 38, 16, 20, 32, 29, 10, 6, 114, 20, 24, 24, 23, 23, 9, 18, 21, 17, 19, 15, 15, 1, 14, 4, 2, 23, 23, 19, 14, 13, 24, 84, 24, 26, 26, 1, 76, 4, 24, 2, 1, 29, 25, 24, 13, 7, 14, 29, 14, 10, 7, 23, 0, 14, 15, 22, 25, 18, 23, 15, 43, 76, 15, 10, 17, 3, 1, 11, 19, 15, 26])"
Wait time of HPC (Priority=5) jobs,"(0, 29.7, 121, [20, 57, 86, 49, 3, 4, 2, 24, 26, 23, 10, 2, 51, 2, 3, 13, 7, 14, 29, 48, 23, 0, 4, 21, 26, 87, 88, 16, 46, 12, 20, 5, 29, 24, 26, 25, 15, 23, 23, 48, 20, 21, 20, 2, 19, 46, 89, 2, 24, 19, 22, 30, 9, 31, 22, 23, 24, 13, 29, 22, 13, 29, 16, 22, 2, 7, 29, 6, 33, 9, 29, 6, 7, 115, 24, 102, 1, 16, 5, 73, 26, 2, 25, 40, 27, 25, 6, 74, 30, 8, 30, 121, 103, 30, 12, 16, 76, 16, 10, 30, 30, 25, 15, 31, 30, 31, 25, 16, 9, 25, 31, 14, 35, 2, 29, 16, 25, 39, 39, 25, 10, 11, 25, 19, 32, 25, 17, 26, 33, 40, 26, 41, 26, 44, 11, 76, 74, 111, 78, 2, 14, 27, 18, 17, 12, 22, 85, 24, 18, 3, 29, 4, 29, 86, 112, 16, 5, 0, 18, 21, 6, 12, 17, 18, 21, 18, 13, 21, 26, 11, 4, 21, 12, 19, 45, 20, 20, 21, 22, 26, 13, 76, 22, 113, 76, 18, 11, 21, 114, 25, 115, 22, 29, 116, 22, 22, 22, 23, 117])"
Wait time of QC jobs,"(0, 49.5, 105)"
Wait time of QC (Priority=1) jobs,"(5, 23.8, 55, [55, 5, 14, 38, 5, 26])"
Wait time of QC (Priority=2) jobs,"(0, 21.8, 77, [56, 11, 11, 12, 13, 7, 19, 12, 0, 77])"
Wait time of QC (Priority=3) jobs,"(8, 44.7, 78, [45, 57, 13, 58, 39, 8, 57, 75, 59, 58, 76, 14, 18, 15, 78])"
Wait time of QC (Priority=4) jobs,"(2, 73.4, 104, [60, 91, 59, 65, 2, 66, 103, 88, 104, 90, 79])"
Wait time of QC (Priority=5) jobs,"(71, 84.1, 105, [78, 79, 105, 90, 77, 89, 71])"
Response time of HPC jobs,"(1, 23.8, 122)"
Response time of HPC (Priority=1) jobs,"(1, 20.8, 108, [20, 21, 28, 9, 20, 19, 20, 24, 23, 13, 15, 76, 9, 4, 28, 5, 16, 24, 18, 23, 19, 14, 16, 22, 25, 17, 68, 9, 22, 5, 9, 9, 9, 25, 14, 9, 9, 39, 46, 17, 22, 26, 21, 6, 16, 77, 22, 15, 2, 3, 22, 11, 47, 7, 21, 17, 19, 9, 21, 25, 11, 15, 20, 23, 22, 28, 8, 19, 6, 6, 19, 13, 30, 6, 21, 6, 21, 100, 6, 38, 18, 13, 13, 24, 19, 5, 20, 41, 31, 7, 15, 13, 23, 15, 20, 8, 20, 21, 25, 70, 19, 13, 19, 4, 13, 2, 21, 25, 19, 2, 6, 22, 101, 13, 71, 9, 6, 13, 21, 72, 25, 13, 30, 13, 5, 23, 15, 8, 4, 25, 30, 23, 22, 65, 21, 15, 20, 1, 24, 3, 8, 22, 24, 4, 7, 10, 24, 1, 29, 30, 4, 5, 5, 13, 11, 20, 14, 3, 102, 7, 20, 71, 8, 14, 25, 9, 20, 21, 19, 25, 3, 76, 1, 69, 17, 18, 13, 15, 5, 10, 21, 14, 19, 23, 9, 3, 3, 10, 18, 7, 19, 22, 23, 9, 15, 73, 108, 1, 20])"
Response time of HPC (Priority=2) jobs,"(2, 21.8, 113, [10, 17, 14, 21, 11, 3, 23, 78, 10, 24, 8, 81, 22, 15, 82, 29, 18, 10, 40, 11, 22, 24, 25, 9, 46, 15, 48, 23, 16, 10, 9, 7, 9, 9, 12, 20, 4, 19, 23, 20, 83, 14, 8, 11, 12, 30, 49, 8, 20, 19, 14, 8, 24, 30, 11, 26, 19, 16, 30, 9, 15, 15, 25, 25, 9, 23, 13, 73, 2, 6, 22, 18, 13, 4, 7, 39, 15, 26, 20, 19, 6, 28, 19, 3, 7, 23, 102, 26, 13, 6, 15, 11, 6, 9, 5, 25, 15, 3, 23, 112, 15, 6, 25, 16, 29, 15, 22, 20, 16, 8, 27, 24, 21, 6, 12, 21, 69, 25, 4, 22, 27, 113, 3, 14, 15, 15, 9, 24, 21, 21, 11, 2, 74, 5, 41, 18, 19, 27, 5, 14, 10, 12, 16, 18, 2, 20, 15, 14, 4, 30, 8, 20, 15, 15, 6, 21, 7, 25, 20, 6, 5, 5, 21, 21, 11, 13, 10, 109, 110, 32, 10, 3, 25, 24, 21, 35, 29, 11, 18, 11, 55, 4, 15, 7, 84])"
Response time of HPC (Priority=3) jobs,"(1, 20.4, 111, [26, 12, 18, 50, 19, 24, 14, 9, 35, 20, 21, 23, 5, 56, 3, 24, 10, 23, 18, 10, 11, 7, 21, 30, 31, 20, 13, 23, 4, 13, 10, 10, 19, 13, 32, 20, 7, 21, 14, 7, 59, 24, 12, 36, 9, 16, 18, 84, 21, 15, 14, 2, 13, 19, 26, 21, 16, 11, 10, 3, 9, 17, 15, 22, 4, 85, 9, 18, 23, 4, 22, 15, 9, 16, 9, 28, 16, 25, 24, 16, 15, 24, 10, 26, 15, 66, 27, 20, 16, 29, 28, 21, 40, 10, 17, 34, 4, 29, 27, 99, 25, 28, 24, 17, 5, 35, 29, 17, 19, 18, 19, 8, 1, 24, 20, 2, 12, 20, 8, 16, 23, 9, 28, 43, 18, 29, 16, 3, 5, 17, 25, 15, 5, 15, 25, 14, 21, 12, 14, 32, 15, 111, 10, 47, 21, 17, 22, 17, 19, 18, 16, 25, 70, 4, 25, 12, 23, 7, 15, 14, 1, 42, 24, 4, 10, 14, 23, 20, 10, 4, 11, 43, 18, 8, 15, 13, 24, 25, 23, 22, 20, 6, 16])"
Response time of HPC (Priority=4) jobs,"(1, 23.6, 115, [16, 26, 8, 21, 34, 14, 20, 46, 20, 7, 24, 6, 7, 17, 11, 27, 31, 47, 6, 11, 14, 8, 17, 19, 22, 18, 25, 19, 26, 1, 13, 47, 20, 47, 6, 40, 47, 25, 25, 19, 25, 49, 26, 20, 9, 5, 22, 27, 8, 22, 10, 49, 30, 57, 26, 5, 14, 47, 15, 19, 18, 8, 20, 21, 23, 14, 86, 24, 32, 22, 35, 6, 16, 70, 33, 24, 20, 10, 17, 19, 31, 19, 29, 36, 30, 43, 114, 5, 4, 30, 21, 29, 37, 30, 33, 21, 4, 21, 25, 32, 38, 18, 31, 21, 21, 1, 39, 7, 22, 21, 21, 22, 33, 26, 19, 39, 17, 21, 33, 30, 11, 7, 115, 21, 25, 25, 24, 24, 10, 19, 22, 18, 20, 16, 16, 2, 15, 5, 3, 24, 24, 20, 26, 14, 25, 85, 25, 27, 32, 2, 77, 5, 25, 3, 2, 30, 26, 25, 14, 8, 15, 30, 15, 11, 8, 29, 1, 15, 21, 23, 26, 19, 29, 16, 44, 77, 16, 11, 29, 4, 2, 12, 20, 16, 32])"
Response time of HPC (Priority=5) jobs,"(1, 31.9, 122, [21, 58, 87, 50, 4, 5, 3, 25, 27, 24, 11, 8, 75, 3, 4, 14, 8, 15, 41, 54, 24, 1, 5, 22, 27, 88, 89, 17, 52, 13, 21, 6, 30, 25, 27, 26, 16, 24, 24, 49, 21, 33, 21, 3, 20, 47, 90, 3, 25, 20, 23, 31, 10, 32, 23, 24, 60, 14, 30, 23, 14, 41, 17, 23, 3, 8, 30, 7, 34, 10, 30, 7, 8, 121, 25, 103, 2, 17, 6, 74, 27, 3, 26, 41, 28, 73, 7, 75, 31, 9, 31, 122, 104, 31, 13, 17, 77, 17, 11, 31, 31, 26, 16, 32, 31, 32, 26, 17, 10, 37, 32, 15, 36, 3, 30, 17, 26, 45, 40, 26, 11, 12, 26, 20, 33, 26, 18, 27, 34, 41, 27, 42, 32, 45, 12, 77, 75, 112, 96, 3, 15, 28, 19, 18, 13, 23, 86, 25, 19, 4, 30, 5, 35, 87, 113, 17, 6, 1, 19, 22, 7, 13, 23, 19, 22, 19, 14, 22, 27, 12, 5, 22, 13, 20, 46, 21, 26, 22, 28, 27, 14, 88, 23, 114, 88, 19, 12, 22, 115, 31, 116, 23, 30, 117, 23, 23, 23, 24, 118])"
Response time of QC jobs,"(1, 52.7, 111)"
Response time of QC (Priority=1) jobs,"(6, 28.5, 56, [56, 6, 26, 39, 6, 38])"
Response time of QC (Priority=2) jobs,"(1, 26.3, 78, [57, 12, 12, 13, 14, 8, 55, 13, 1, 78])"
Response time of QC (Priority=3) jobs,"(9, 47.9, 79, [57, 58, 14, 59, 45, 9, 58, 76, 77, 59, 77, 15, 19, 16, 79])"
Response time of QC (Priority=4) jobs,"(3, 75.4, 105, [61, 103, 60, 66, 3, 67, 104, 89, 105, 91, 80])"
Response time of QC (Priority=5) jobs,"(72, 85.9, 111, [79, 80, 111, 91, 78, 90, 72])"
